Age,Crime_Location,crime_hour,Crime_year,Crime_month,Crime_day,crime_dayofweek,crime_hour_sin,crime_hour_cos,Crime_Location_raw,gender_female,gender_male,PS/SD_encoded,Allegation_encoded
-1.421951826546836,69,13,2022,4,24,6,-0.2588190451025208,-0.9659258262890683,rupgonj,False,True,-2.0884006946463147,-2.354226561786651
-1.2311171979486182,69,13,2022,4,24,6,-0.2588190451025208,-0.9659258262890683,rupgonj,False,True,-2.0884006946463147,-2.354226561786651
-0.6586133121539646,69,13,2022,4,24,6,-0.2588190451025208,-0.9659258262890683,rupgonj,False,True,-2.0884006946463147,-2.354226561786651
-1.2311171979486182,69,13,2022,4,24,6,-0.2588190451025208,-0.9659258262890683,rupgonj,False,True,-2.0884006946463147,-2.354226561786651
1.9176541739219766,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.0836198288514907
-1.421951826546836,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.0836198288514907
-0.9448652550512913,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.0836198288514907
0.009307887939797962,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.0836198288514907
-2.3761249695379254,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.0836198288514907
-0.9448652550512913,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,True,False,-1.872656846432527,-2.0836198288514907
-1.421951826546836,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,True,False,-1.872656846432527,-2.0836198288514907
-2.0898730266405985,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.0836198288514907
-1.8036210837432716,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,True,False,-1.872656846432527,-2.0836198288514907
-2.0898730266405985,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,True,False,-1.872656846432527,-2.0836198288514907
-1.7082037694441627,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,True,False,-1.872656846432527,-2.0836198288514907
-1.421951826546836,3,15,2022,12,29,3,-0.7071067811865471,-0.7071067811865479,purbachol,False,True,-2.090938857566477,-2.381287235080167
-1.421951826546836,3,15,2022,12,29,3,-0.7071067811865471,-0.7071067811865479,purbachol,False,True,-2.090938857566477,-2.381287235080167
-1.5173691408459449,3,15,2022,12,29,3,-0.7071067811865471,-0.7071067811865479,purbachol,False,True,-2.090938857566477,-2.381287235080167
1.9176541739219766,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.151271512085281
-1.421951826546836,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.151271512085281
-0.9448652550512913,33,4,2024,6,9,6,0.8660254037844386,0.5000000000000001,araihazar,False,True,-1.872656846432527,-2.151271512085281
