PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
-6.147045147407186,-0.4983990116413353,1.3585076591877359,-2.921305228446532,2.516850463695801,-3.215846787227642
-6.136264508666078,-0.47229781076095784,1.3551690541071837,-2.915643968616333,2.6151288788520484,-3.0654470786921335
-6.1039225924427525,-0.39399420811982533,1.345153238865527,-2.8986601891257355,2.909964124320791,-2.6142479530856053
-6.136264508666078,-0.47229781076095784,1.3551690541071837,-2.915643968616333,2.6151288788520484,-3.0654470786921335
-7.418825607455963,-0.4785423798519793,-0.9943930850160047,-0.544142790326115,2.586871831232863,-0.46413512200698603
-7.607486785425364,-0.9353133952585856,-0.9359674961063401,-0.6432148373546007,0.8669995659985322,-3.096130021378396
-7.580535188572592,-0.8700603930576417,-0.944314008807721,-0.6290616877791028,1.1126956038891507,-2.7201307500396235
-7.526631994867049,-0.7395543886557541,-0.9610070342104823,-0.6007553886281068,1.6040876796703882,-1.9681322073620782
-7.661389979130907,-1.065819399660473,-0.9192744707035788,-0.6715211365055964,0.37560749021729506,-3.848128564055942
-8.582889506640278,-1.3593759995855679,-8.115553066710422,-6.38112192809972,-0.6841766911793693,-0.39444558399681806
-8.60984110349305,-1.4246290017865118,-8.107206554009043,-6.395275077675217,-0.9298727290699876,-0.7704448553355906
-7.645219021019244,-1.0266675983399067,-0.9242823783244075,-0.6630292467602977,0.5230251129516663,-3.622529001252678
-8.631402380975267,-1.476831403547267,-8.100529343847938,-6.406597597335616,-1.126429559382483,-1.0712442724066096
-8.647573339086929,-1.515983204867833,-8.09552143622711,-6.415089487080914,-1.2738471821168533,-1.2968438352098728
-8.626012061604712,-1.463780803107078,-8.102198646388214,-6.403766967420516,-1.077290351804359,-0.9960444181388544
-4.870163334837642,-4.665312516296163,1.0930317950906874,1.0132939515398593,-0.5918641183998943,-0.3611734822348957
-4.870163334837642,-4.665312516296163,1.0930317950906874,1.0132939515398593,-0.5918641183998943,-0.3611734822348957
-4.875553654208196,-4.678363116736351,1.0947010976309635,1.0104633216247596,-0.6410033259780178,-0.43637333650265026
-7.435955391003176,-0.4882034326053886,-0.99443399812255,-0.5426673063226191,2.58515298609733,-0.46351235470590446
-7.624616568972577,-0.9449744480119949,-0.9360084092128854,-0.6417393533511048,0.8652807208629989,-3.0955072540773143
-7.597664972119805,-0.879721445811051,-0.9443549219142663,-0.6275862037756068,1.1109767587536175,-2.7195079827385418
-7.543761778414263,-0.7492154414091634,-0.9610479473170276,-0.5992799046246109,1.602368834534855,-1.9675094400609965
-7.67851976267812,-1.0754804524138823,-0.9193153838101241,-0.6700456525021005,0.37388864508176173,-3.8475057967548603
-8.60001929018749,-1.3690370523389772,-8.115593979816968,-6.379646444096224,-0.6858955363149025,-0.3938228166957365
-8.626970887040262,-1.434290054539921,-8.107247467115588,-6.393799593671721,-0.9315915742055209,-0.769822088034509
-7.662348804566458,-1.036328651093316,-0.9243232914309528,-0.6615537627568018,0.521306267816133,-3.6219062339515964
-8.648532164522479,-1.4864924563006763,-8.100570256954484,-6.40512211333212,-1.1281484045180163,-1.070621505105528
-8.664703122634142,-1.5256442576212423,-8.095562349333655,-6.413614003077418,-1.2755660272523868,-1.296221067908791
-8.643141845151925,-1.4734418558604874,-8.102239559494759,-6.40229148341702,-1.0790091969398925,-0.9954216508377728
-7.46678900138816,-0.5055933275615253,-0.9945076417143316,-0.5400114351163263,2.58205906485337,-0.46239137356395754
-7.655450179357561,-0.9623643429681318,-0.936082052804667,-0.639083482144812,0.8621867996190388,-3.0943862729353673
-7.628498582504789,-0.8971113407671879,-0.9444285655060479,-0.6249303325693141,1.1078828375096572,-2.7183870015965947
-7.5745953887992465,-0.7666053363653003,-0.9611215909088092,-0.5966240334183182,1.5992749132908948,-1.9663884589190497
-7.709353373063104,-1.0928703473700192,-0.9193890274019058,-0.6673897812958077,0.3707947238378016,-3.8463848156129137
-8.630852900572474,-1.386426947295114,-8.115667623408749,-6.376990572889932,-0.6889894575588625,-0.39270183555378957
